Pred: don           True: don
Pred: </s>          True: key
Pred: </s>          True: </s>

Pred: const         True: const
Pred: const         True: ruction
Pred: const         True: </s>

Pred:  native       True: native
Pred:  native       True: </s>
Pred:  native       True: <pad>

Pred: j             True: j
Pred: j             True: umping
Pred: j             True: </s>

LOSS: 6.663750171661377 
------------------------- 
Pred: mus           True: mus
Pred: mus           True: cles
Pred: mus           True: </s>
Pred: mus           True: <pad>

Pred: b             True: b
Pred: b             True: ond
Pred:  b            True: age
Pred: b             True: </s>

Pred: pc            True: pc
Pred: pc            True: </s>
Pred:  pc           True: <pad>
Pred: ''            True: <pad>

Pred: le            True: le
Pred: le            True: ather
Pred: le            True: </s>
Pred: </s>          True: <pad>

LOSS: 12.919939041137695 
------------------------- 
Pred: warm          True: warm
Pred:  winter       True: </s>
Pred:  winter       True: <pad>

Pred:  to           True: very
Pred: </s>          True: </s>
Pred:  to           True: <pad>

Pred: gray          True: gray
Pred: gray          True: </s>
Pred: </s>          True: <pad>

Pred: sing          True: sing
Pred: ong           True: les
Pred: </s>          True: </s>

LOSS: 8.75028133392334 
------------------------- 
Pred:  clock        True: time
Pred:  time         True:  tell
Pred:  time         True: er
Pred:  time         True: </s>

Pred: p             True: p
Pred:  p            True: ager
Pred:  p            True: </s>
Pred:  paint        True: <pad>

Pred: tail          True: tail
Pred: tail          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: classic       True: classic
Pred: classic       True: </s>
Pred:  vintage      True: <pad>
Pred:  among        True: <pad>

LOSS: 11.42512321472168 
------------------------- 
Pred:  no           True: no
Pred:  no           True:  turning
Pred:  no           True:  during
Pred:  no           True:  certain
Pred: )             True:  times
Pred:  no           True: </s>

Pred: )             True: 3
Pred:  3            True: </s>
Pred:  by           True: <pad>
Pred:  by           True: <pad>
Pred:  by           True: <pad>
Pred:  pictures     True: <pad>

Pred: jay           True: jay
Pred: rams          True: walking
Pred: new           True: </s>
Pred:  sports       True: <pad>
Pred:  juggling     True: <pad>
Pred:  another      True: <pad>

Pred:  can          True: steel
Pred: "),           True: </s>
Pred:  steel        True: <pad>
Pred:  steel        True: <pad>
Pred: "),           True: <pad>
Pred: ''            True: <pad>

LOSS: 13.979991912841797 
------------------------- 
Pred: cook          True: cook
Pred:  oven         True: ies
Pred:  cook         True: </s>

Pred: act           True: c
Pred: d             True: ouch
Pred: d             True: </s>

Pred: cle           True: cle
Pred: cle           True: aning
Pred: cle           True: </s>

Pred: cer           True: cer
Pred: ")            True: amic
Pred: od            True: </s>

LOSS: 6.744510650634766 
------------------------- 
Pred: real          True: real
Pred: real          True:  not
