ITERATION 0 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 1e-05
LOSS 10.619166374206543 	 ACC 0.25 
LOSS 12.84917163848877 	 ACC 0.25 
LOSS 13.338408470153809 	 ACC 0.0 
LOSS 8.046576499938965 	 ACC 0.25 
LOSS 12.971394538879395 	 ACC 0.0 
LOSS 9.613325119018555 	 ACC 0.25 
LOSS 10.614011764526367 	 ACC 0.25 
LOSS 12.600957870483398 	 ACC 0.25 
LOSS 11.034419059753418 	 ACC 0.25 
LOSS 9.232378959655762 	 ACC 0.6499999999999999 
LOSS 5.541137218475342 	 ACC 0.25 
LOSS 7.472707271575928 	 ACC 0.29999999999999993 
LOSS 4.963101863861084 	 ACC 0.25 
LOSS 13.440202713012695 	 ACC 0.25 
LOSS 10.14452075958252 	 ACC 0.4 
LOSS 9.396492004394531 	 ACC 0.4 
LOSS 9.840873718261719 	 ACC 0.0 
LOSS 7.790889739990234 	 ACC 0.4 
LOSS 9.633339881896973 	 ACC 0.25 
LOSS 5.3631815910339355 	 ACC 0.0 
LOSS 10.597177505493164 	 ACC 0.25 
LOSS 7.195376873016357 	 ACC 0.0 
LOSS 9.314896583557129 	 ACC 0.25 
LOSS 10.033053398132324 	 ACC 0.5 
LOSS 4.8206787109375 	 ACC 0.5 
LOSS 5.968383312225342 	 ACC 0.4 
LOSS 4.585414886474609 	 ACC 0.25 
LOSS 7.249399185180664 	 ACC 0.15 
LOSS 11.193979263305664 	 ACC 0.25 
LOSS 8.043288230895996 	 ACC 0.15 
LOSS 8.4410400390625 	 ACC 0.0 
LOSS 7.398589611053467 	 ACC 0.0 
LOSS 13.642721176147461 	 ACC 0.25 
LOSS 7.403146266937256 	 ACC 0.0 
LOSS 7.909940242767334 	 ACC 0.25 
LOSS 11.083401679992676 	 ACC 0.4 
LOSS 8.215498924255371 	 ACC 0.5 
LOSS 12.188508987426758 	 ACC 0.0 
LOSS 5.4310736656188965 	 ACC 0.5 
LOSS 10.515220642089844 	 ACC 0.0 
LOSS 11.18876838684082 	 ACC 0.0 
LOSS 10.256768226623535 	 ACC 0.0 
LOSS 11.457944869995117 	 ACC 0.0 
LOSS 8.947359085083008 	 ACC 0.5 
LOSS 11.963444709777832 	 ACC 0.3 
LOSS 12.532646179199219 	 ACC 0.25 
LOSS 6.387939453125 	 ACC 0.15 
LOSS 13.026753425598145 	 ACC 0.0 
LOSS 10.904415130615234 	 ACC 0.0 
LOSS 15.042129516601562 	 ACC 0.14999999999999997 
LOSS 7.803718566894531 	 ACC 0.5 
LOSS 11.921455383300781 	 ACC 0.5 
LOSS 6.203884601593018 	 ACC 0.14999999999999997 
LOSS 6.59528923034668 	 ACC 0.75 
LOSS 7.100706100463867 	 ACC 0.25 
LOSS 9.328913688659668 	 ACC 0.75 
LOSS 12.170076370239258 	 ACC 0.25 
LOSS 10.472496032714844 	 ACC 0.5 
LOSS 10.323083877563477 	 ACC 0.5 
LOSS 9.306310653686523 	 ACC 0.0 
LOSS 12.945108413696289 	 ACC 0.25 
LOSS 10.171008110046387 	 ACC 0.5 
LOSS 7.654297351837158 	 ACC 0.0 
LOSS 10.389032363891602 	 ACC 0.0 
LOSS 10.476125717163086 	 ACC 0.0 
LOSS 5.74665641784668 	 ACC 0.39999999999999997 
LOSS 5.1927008628845215 	 ACC 0.4 
LOSS 9.817073822021484 	 ACC 0.0 
LOSS 15.663044929504395 	 ACC 0.4 
LOSS 12.088768005371094 	 ACC 0.25 
LOSS 10.347308158874512 	 ACC 0.5 
LOSS 12.130829811096191 	 ACC 0.25 
LOSS 7.005516052246094 	 ACC 0.0 
LOSS 6.350780010223389 	 ACC 0.25 
LOSS 12.408787727355957 	 ACC 0.39999999999999997 
