ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 9.239983558654785 	 ACC 0.25 
LOSS 11.126070976257324 	 ACC 0.25 
LOSS 13.480332374572754 	 ACC 0.4 
LOSS 8.00649356842041 	 ACC 0.0 
LOSS 10.932059288024902 	 ACC 0.75 
LOSS 9.428089141845703 	 ACC 0.0 
LOSS 7.815843105316162 	 ACC 0.25 
LOSS 10.035876274108887 	 ACC 0.8999999999999999 
LOSS 9.718734741210938 	 ACC 0.0 
LOSS 8.69798469543457 	 ACC 0.25 
LOSS 10.750927925109863 	 ACC 0.0 
LOSS 9.307479858398438 	 ACC 0.5 
LOSS 7.3228583335876465 	 ACC 0.0 
LOSS 7.784181118011475 	 ACC 0.5 
LOSS 4.385684013366699 	 ACC 0.25 
LOSS 9.866120338439941 	 ACC 0.39999999999999997 
LOSS 8.21803092956543 	 ACC 0.0 
LOSS 11.376707077026367 	 ACC 0.25 
LOSS 6.821936130523682 	 ACC 0.39999999999999997 
LOSS 9.024358749389648 	 ACC 0.0 
LOSS 8.328539848327637 	 ACC 0.14999999999999997 
LOSS 11.04658031463623 	 ACC 0.0 
LOSS 10.174079895019531 	 ACC 0.0 
LOSS 10.845451354980469 	 ACC 0.0 
LOSS 5.39320707321167 	 ACC 0.0 
LOSS 14.783782005310059 	 ACC 0.25 
LOSS 9.292852401733398 	 ACC 0.65 
LOSS 10.481274604797363 	 ACC 0.14999999999999997 
LOSS 15.850214004516602 	 ACC 0.25 
LOSS 9.073331832885742 	 ACC 0.5 
LOSS 8.28719711303711 	 ACC 0.0 
LOSS 13.494926452636719 	 ACC 0.25 
LOSS 12.474248886108398 	 ACC 0.25 
LOSS 6.528842449188232 	 ACC 0.0 
LOSS 9.634939193725586 	 ACC 0.0 
LOSS 14.589186668395996 	 ACC 0.0 
LOSS 5.71769380569458 	 ACC 0.25 
LOSS 9.256156921386719 	 ACC 0.0 
LOSS 8.281018257141113 	 ACC 0.0 
LOSS 10.495518684387207 	 ACC 0.0 
LOSS 6.089260578155518 	 ACC 0.29999999999999993 
LOSS 10.335195541381836 	 ACC 0.25 
LOSS 10.23408031463623 	 ACC 0.25 
LOSS 13.676252365112305 	 ACC 0.15 
LOSS 9.127850532531738 	 ACC 0.25 
LOSS 9.159981727600098 	 ACC 0.15 
LOSS 9.227582931518555 	 ACC 0.4 
LOSS 7.467254638671875 	 ACC 0.15 
LOSS 6.219141006469727 	 ACC 0.25 
LOSS 13.333523750305176 	 ACC 0.0 
LOSS 6.257246017456055 	 ACC 0.0 
LOSS 7.945791244506836 	 ACC 0.5 
LOSS 9.007054328918457 	 ACC 0.0 
LOSS 9.081313133239746 	 ACC 0.25 
LOSS 9.416630744934082 	 ACC 0.25 
LOSS 10.763874053955078 	 ACC 0.25 
LOSS 12.718263626098633 	 ACC 0.5 
LOSS 7.8960161209106445 	 ACC 0.29999999999999993 
LOSS 5.910407543182373 	 ACC 0.25 
LOSS 5.472984313964844 	 ACC 0.0 
LOSS 11.00232219696045 	 ACC 0.5 
LOSS 6.926831245422363 	 ACC 0.4 
LOSS 4.237725734710693 	 ACC 0.0 
LOSS 9.782055854797363 	 ACC 0.15 
LOSS 10.6478271484375 	 ACC 0.5 
LOSS 7.471281051635742 	 ACC 0.25 
LOSS 10.34955883026123 	 ACC 0.39999999999999997 
LOSS 13.042498588562012 	 ACC 0.0 
LOSS 12.634271621704102 	 ACC 0.30000000000000004 
LOSS 11.44332504272461 	 ACC 0.15 
LOSS 12.660161972045898 	 ACC 0.25 
LOSS 11.542110443115234 	 ACC 0.0 
LOSS 17.84061050415039 	 ACC 0.15000000000000002 
LOSS 11.863807678222656 	 ACC 0.25 
LOSS 12.425207138061523 	 ACC 0.25 
LOSS 9.112491607666016 	 ACC 0.39999999999999997 
LOSS 13.325404167175293 	 ACC 0.0 
LOSS 6.437732219696045 	 ACC 0.0 
LOSS 11.366427421569824 	 ACC 0.14999999999999997 
LOSS 10.394200325012207 	 ACC 0.5 
LOSS 10.662985801696777 	 ACC 0.25 
LOSS 5.5708489418029785 	 ACC 0.15 
LOSS 9.313166618347168 	 ACC 0.0 
LOSS 5.21199893951416 	 ACC 0.0 
LOSS 9.550068855285645 	 ACC 0.5 
LOSS 6.668415546417236 	 ACC 0.25 
LOSS 10.647110939025879 	 ACC 0.25 
LOSS 10.164990425109863 	 ACC 0.0 
LOSS 9.623111724853516 	 ACC 0.39999999999999997 
LOSS 9.312292098999023 	 ACC 0.25 
LOSS 13.688804626464844 	 ACC 0.0 
LOSS 11.396577835083008 	 ACC 0.25 
LOSS 7.680271625518799 	 ACC 0.5 
LOSS 9.083388328552246 	 ACC 0.29999999999999993 
LOSS 9.46412181854248 	 ACC 0.25 
LOSS 7.143712520599365 	 ACC 0.25 
LOSS 9.790937423706055 	 ACC 0.5 
LOSS 7.453688144683838 	 ACC 0.25 
LOSS 11.27141284942627 	 ACC 0.25 
LOSS 15.308277130126953 	 ACC 0.5 
LOSS 8.09290599822998 	 ACC 0.15 
LOSS 9.348809242248535 	 ACC 0.25 
LOSS 5.687063217163086 	 ACC 0.25 
LOSS 11.402395248413086 	 ACC 0.0 
LOSS 8.737695693969727 	 ACC 0.0 
LOSS 8.00674057006836 	 ACC 0.15 
LOSS 8.0817232131958 	 ACC 0.75 
LOSS 6.664480209350586 	 ACC 0.25 
LOSS 8.877935409545898 	 ACC 0.15 
